#,repair_cost-,repair_time-parallel,repair_time-sequential,collapse,irreparable
0,396789.2699054047,131.86327142875805,321.0085360200567,0.0,0.0
1,546627.119432989,175.8578688337557,449.45111641742307,0.0,0.0
2,381045.7186847109,107.28737202651291,258.6187582191905,0.0,0.0
3,553380.5306967429,162.3691567606293,394.05990630570375,0.0,0.0
4,299568.8741815721,68.3449621854202,174.5982014232553,0.0,0.0
5,371353.82511191553,146.14062443448486,266.7777493407152,0.0,0.0
6,396092.2623079008,79.71909373751348,304.32282450591987,0.0,0.0
7,406802.2199094392,77.60672390668333,247.92713345207216,0.0,0.0
8,216672.82681485306,45.14604398437191,162.8486854712708,0.0,0.0
9,734344.8804955629,225.087228295668,561.564732530258,0.0,0.0
10,283925.5722222913,124.99565592272862,252.5971693498355,0.0,0.0
11,652242.5936972189,373.371735363841,688.0061513939345,0.0,0.0
12,353598.74111207,95.21035828503037,247.27188241249837,0.0,0.0
13,217985.48098287272,88.65664475843907,255.7382743049455,0.0,0.0
14,274649.97206202603,148.27231455216983,282.69249877185905,0.0,0.0
15,783105.005509469,267.54675568356225,660.726933717725,0.0,0.0
16,264463.02760855923,65.57483171051382,187.9142637799888,0.0,0.0
17,497946.470242776,138.0099567797095,365.9796799540773,0.0,0.0
18,356848.1579597408,91.13598811651873,262.219240637124,0.0,0.0
19,356463.5074326338,103.37059309519525,341.5660015953369,0.0,0.0
20,581778.3738453931,167.06895501170155,394.2977700272621,0.0,0.0
21,327154.109242537,117.04995562330024,280.12710161625665,0.0,0.0
22,482766.1217166517,129.4088112386917,362.9454337549144,0.0,0.0
23,274809.2228670785,109.2586481125694,256.1238029480698,0.0,0.0
24,313738.2692426179,93.76027250707719,216.3404146232638,0.0,0.0
25,309822.1047606529,103.22179091761296,252.04745351382115,0.0,0.0
26,1050343.518199323,341.73204073853054,888.069561293458,0.0,0.0
27,313162.1407883905,144.35512463181945,278.569677160904,0.0,0.0
28,363882.50296568434,146.15677574786184,356.85163910994896,0.0,0.0
29,237194.2330226201,86.46370324382244,197.7907998941515,0.0,0.0
30,459463.24290709937,80.61962768095046,267.99469196536074,0.0,0.0
31,375495.00705147034,88.06258523226406,278.6144563888503,0.0,0.0
32,206717.0055078097,50.98862025970435,143.8408051524064,0.0,0.0
33,346712.12201450835,124.99348746276475,260.200223199497,0.0,0.0
34,289649.9024815187,119.05884235132957,281.5216254167969,0.0,0.0
35,194834.01138618332,60.9186843499331,148.2595339985517,0.0,0.0
36,667772.3158797325,159.5324634075028,411.01807753172915,0.0,0.0
37,987036.1192223162,328.00752211529436,811.4029197651271,0.0,0.0
38,705812.8876450555,312.12420966110784,761.6421468841387,0.0,0.0
39,602412.4957696118,162.67298769282877,395.1450963976999,0.0,0.0
40,528082.0743231893,239.52641065841695,361.51193249745984,0.0,0.0
41,449039.3529620017,112.9702501468073,246.87074859379496,0.0,0.0
42,514298.3026335727,247.77448304221198,451.8318069040451,0.0,0.0
43,898399.220998192,529.8722472532858,742.2629904556998,0.0,0.0
44,760962.352667876,189.98606528878318,524.0973181103377,0.0,0.0
45,702875.1157397702,143.5573161410761,472.5223091431492,0.0,0.0
46,273073.897334092,39.866859917609716,151.52205312764096,0.0,0.0
47,508012.0087677188,160.6065925396358,395.5734502103843,0.0,0.0
48,975861.7107017885,310.821415965671,800.2487280296821,0.0,0.0
